Breed,Origin
Abyssinian,Egypt
Aegean,Greece
American Bobtail,United States
American Curl,United States
American Shorthair,United States
American Wirehair,United States
Arabian Mau,United Arab Emirates
Australian Mist,Australia
Balinese,United States
Bambino,United States
Bengal,United States
Birman,France
Bombay,United States
British Longhair,United Kingdom
British Shorthair,United Kingdom
Burmese,Burma
Burmilla,United Kingdom
California Spangled,United States
Chantilly-Tiffany,United States
Chartreux,France
Chausie,Egypt
Cheetoh,United States
Colorpoint Shorthair,United States
Cornish Rex,United Kingdom
Cymric,Canada
Cyprus,Cyprus
Devon Rex,United Kingdom
Donskoy,Russia
Dragon Li,China
Egyptian Mau,Egypt
European Burmese,Burma
Exotic Shorthair,United States
Havana Brown,United Kingdom
Himalayan,United States
Japanese Bobtail,Japan
Javanese,United States
Khao Manee,Thailand
Korat,Thailand
Kurilian,Russia
LaPerm,Thailand
Maine Coon,United States
Malayan,United Kingdom
Manx,Isle of Man
Munchkin,United States
Nebelung,United States
Norwegian Forest Cat,Norway
Ocicat,United States
Oriental,United States
Persian,Iran (Persia)
Pixie-bob,United States
Ragamuffin,United States
Ragdoll,United States
Russian Blue,Russia
Savannah,United States
Scottish Fold,United Kingdom
Selkirk Rex,United States
Siamese,Thailand
Siberian,Russia
Singapura,Singapore
Snowshoe,United States
Somali,Somalia
Sphynx,Canada
Tonkinese,Canada
Toyger,United States
Turkish Angora,Turkey
Turkish Van,Turkey
York Chocolate,United States
